chrom	start	end	pas	score	strand	polyAsite_exon_idx	nr_polyAsites_on_exon	exon	gene	CF1m25_KD_2	CF1m25_KD_3	CF1m25_OE_1	CF1m25_OE_2	CF1m25_OE_3	CF1m68_KD_1	CF1m68_KD_2	CF1m68_KD_3	CF1m68_OE_1	CF1m68_OE_2	CF1m68_OE_3	WT1_OE	WT2_OE	WT3_OE
10	100550114	100550118	10:+:100550118:+	3	+	1	3	ENST00000299163:8:8:100548093:100559998	ENST00000299163	64.379765	69.938653	40.252896	39.542749	48.508957	69.078764	75.849928	75.18464	31.852614000000003	33.298184	31.112899	49.707795000000004	45.550983	49.752059
10	100553893	100553941	10:+:100553917:+	9	+	2	3	ENST00000299163:8:8:100548093:100559998	ENST00000299163	30.844234000000004	32.433544	29.457860999999998	30.498687	28.176316999999997	32.742536	35.523959000000005	33.305128	47.749840999999996	50.813513	48.602973999999996	44.092348	43.055285	39.298652000000004
10	100558995	100559041	10:+:100559019:+	8	+	3	3	ENST00000299163:8:8:100548093:100559998	ENST00000299163	9.116592	9.211616000000001	20.980779000000002	18.615845	21.094162	7.043195	6.343564	6.007361	27.626278000000003	29.174891	31.540434	21.039457000000002	22.012418	18.323403
10	100963693	100963733	10:+:100963719:+	9	+	1	2	ENST00000238961:20:20:100961877:100965136	ENST00000238961	38.410864000000004	38.587167	33.563947999999996	19.161765	20.561096	54.349059999999994	54.500083	48.151514	22.159183	23.804217	20.191319	33.674214	27.129497999999998	14.952992000000002
10	100965106	100965138	10:+:100965132:+	9	+	2	2	ENST00000238961:20:20:100961877:100965136	ENST00000238961	36.269099	33.986064	67.11465	66.893302	69.3937	23.181538	21.595402	21.012532	59.537053	57.362272	63.780471	50.520558	61.51268	63.011291
10	101554198	101554235	10:+:101554221:+	8	+	1	2	ENST00000370187:15:15:101553155:101557321	ENST00000370187	35.113673999999996	35.642084999999994	1.5629620000000002	0.400341	4.721437	46.995298999999996	48.22473	50.917018	0.0	0.0	0.0	5.393785	4.775941	5.1839319999999995
10	101557284	101557326	10:+:101557324:+	9	+	2	2	ENST00000370187:15:15:101553155:101557321	ENST00000370187	10.990636	10.95232	39.431678000000005	40.197852000000005	36.514984000000005	5.812022	5.347693	5.861808	49.417111	48.491996	51.556853000000004	44.517201	48.495548	41.779410999999996
10	1017678	1017743	10:+:1017706:+	10	+	1	2	ENST00000360803:17:17:1017075:1019936	ENST00000360803	429.94523399999997	443.691264	365.044359	357.358723	347.672908	396.160281	384.010726	380.50149700000003	377.32649100000003	329.257014	346.556108	330.166159	335.393128	364.07284
10	1019912	1019921	10:+:1019913:+	2	+	2	2	ENST00000360803:17:17:1017075:1019936	ENST00000360803	9.229316	7.913145	26.861755	25.330652	28.100165000000004	3.549326	3.2058869999999997	2.8052	30.437372999999997	35.186582	33.211708	23.994956	25.980399	25.560377
10	102162575	102162629	10:+:102162599:+	9	+	1	2	ENST00000370007:13:13:102162111:102163870	ENST00000370007	457.450006	515.6717160000001	210.00647	225.39184900000004	195.330415	634.919029	612.4336040000001	577.341819	86.52356400000001	150.72538899999998	174.628676	211.18886099999997	198.057901	238.221345
